Tick 576(562), Delay 1 ms, IGT 00:28.050, RTA 00:51.118-00:51.119
Tick 577(563), Delay 97 ms, IGT 00:28.100, RTA 00:51.119-00:51.216
Tick 578(564), Delay 1 ms, IGT 00:28.150, RTA 00:51.216-00:51.217
Tick 579(565), Delay 31 ms, IGT 00:28.200, RTA 00:51.217-00:51.248
Tick 580(566), Delay 45 ms, IGT 00:28.250, RTA 00:51.248-00:51.293
Tick 581(567), Delay 22 ms, IGT 00:28.300, RTA 00:51.293-00:51.315
Tick 584(570), Delay 62 ms, IGT 00:28.450, RTA 00:51.409-00:51.471
Tick 585(571), Delay 35 ms, IGT 00:28.500, RTA 00:51.471-00:51.506
Tick 586(572), Delay 56 ms, IGT 00:28.550, RTA 00:51.506-00:51.562
Tick 587(573), Delay 55 ms, IGT 00:28.600, RTA 00:51.562-00:51.617
Tick 588(574), Delay 41 ms, IGT 00:28.650, RTA 00:51.617-00:51.658
Tick 589(575), Delay 55 ms, IGT 00:28.700, RTA 00:51.658-00:51.713
Tick 592(578), Delay 59 ms, IGT 00:28.850, RTA 00:51.817-00:51.876
Tick 593(579), Delay 31 ms, IGT 00:28.900, RTA 00:51.876-00:51.907
Tick 594(580), Delay 83 ms, IGT 00:28.950, RTA 00:51.907-00:51.990
Tick 595(581), Delay 31 ms, IGT 00:29.000, RTA 00:51.990-00:52.021
Tick 596(582), Delay 62 ms, IGT 00:29.050, RTA 00:52.021-00:52.083
Tick 597(583), Delay 30 ms, IGT 00:29.100, RTA 00:52.083-00:52.113
Tick 598(584), Delay 71 ms, IGT 00:29.150, RTA 00:52.113-00:52.184
Tick 599(585), Delay 30 ms, IGT 00:29.200, RTA 00:52.184-00:52.214
Tick 601(587), Delay 43 ms, IGT 00:29.300, RTA 00:52.268-00:52.311
Tick 605(591), Delay 91 ms, IGT 00:29.500, RTA 00:52.463-00:52.554
Tick 606(592), Delay 63 ms, IGT 00:29.550, RTA 00:52.554-00:52.617
Tick 607(593), Delay 0 ms, IGT 00:29.600, RTA 00:52.617-00:52.617
Tick 608(594), Delay 38 ms, IGT 00:29.650, RTA 00:52.617-00:52.655
Tick 611(597), Delay 57 ms, IGT 00:29.800, RTA 00:52.760-00:52.817
Tick 612(598), Delay 58 ms, IGT 00:29.850, RTA 00:52.817-00:52.875
Tick 613(599), Delay 36 ms, IGT 00:29.900, RTA 00:52.875-00:52.911
Tick 614(600), Delay 58 ms, IGT 00:29.950, RTA 00:52.911-00:52.969
Tick 616(602), Delay 37 ms, IGT 00:30.050, RTA 00:53.023-00:53.060
Tick 618(604), Delay 83 ms, IGT 00:30.150, RTA 00:53.106-00:53.189
Tick 620(606), Delay 41 ms, IGT 00:30.250, RTA 00:53.236-00:53.277
Tick 621(607), Delay 60 ms, IGT 00:30.300, RTA 00:53.277-00:53.337
Tick 622(608), Delay 19 ms, IGT 00:30.350, RTA 00:53.337-00:53.356
Tick 623(609), Delay 95 ms, IGT 00:30.400, RTA 00:53.356-00:53.451
Tick 624(610), Delay 42 ms, IGT 00:30.450, RTA 00:53.451-00:53.493
Tick 625(611), Delay 72 ms, IGT 00:30.500, RTA 00:53.493-00:53.565
Tick 626(612), Delay 0 ms, IGT 00:30.550, RTA 00:53.565-00:53.565
Tick 627(613), Delay 75 ms, IGT 00:30.600, RTA 00:53.565-00:53.640
Tick 628(614), Delay 34 ms, IGT 00:30.650, RTA 00:53.640-00:53.674
Tick 629(615), Delay 43 ms, IGT 00:30.700, RTA 00:53.674-00:53.717
Tick 630(616), Delay 42 ms, IGT 00:30.750, RTA 00:53.717-00:53.759
Tick 631(617), Delay 81 ms, IGT 00:30.800, RTA 00:53.759-00:53.840
Tick 632(618), Delay 59 ms, IGT 00:30.850, RTA 00:53.840-00:53.899
Tick 633(619), Delay 17 ms, IGT 00:30.900, RTA 00:53.899-00:53.916
Tick 634(620), Delay 80 ms, IGT 00:30.950, RTA 00:53.916-00:53.996
Tick 635(621), Delay 16 ms, IGT 00:31.000, RTA 00:53.996-00:54.012
Tick 636(622), Delay 2549 ms, IGT 00:31.050, RTA 00:54.012-00:56.561
Tick 638(624), Delay 41 ms, IGT 00:31.150, RTA 00:56.612-00:56.653
Tick 656(642), Delay 37 ms, IGT 00:32.050, RTA 00:57.513-00:57.550
Tick 658(644), Delay 55 ms, IGT 00:32.150, RTA 00:57.602-00:57.657
Tick 667(653), Delay 35 ms, IGT 00:32.600, RTA 00:58.063-00:58.098
Tick 668(654), Delay 56 ms, IGT 00:32.650, RTA 00:58.098-00:58.154
Tick 693(679), Delay 34 ms, IGT 00:33.900, RTA 00:59.363-00:59.397
Tick 696(682), Delay 55 ms, IGT 00:34.050, RTA 00:59.498-00:59.553
Tick 713(699), Delay 36 ms, IGT 00:34.900, RTA 01:00.361-01:00.397
Tick 770(756), Delay 35 ms, IGT 00:37.750, RTA 01:03.212-01:03.247
Tick 797(783), Delay 33 ms, IGT 00:39.100, RTA 01:04.564-01:04.597
Tick 836(822), Delay 36 ms, IGT 00:41.050, RTA 01:06.513-01:06.549
Tick 869(855), Delay 35 ms, IGT 00:42.700, RTA 01:08.162-01:08.197
Tick 872(858), Delay 61 ms, IGT 00:42.850, RTA 01:08.297-01:08.358
Tick 891(877), Delay 36 ms, IGT 00:43.800, RTA 01:09.261-01:09.297
Tick 892(878), Delay 61 ms, IGT 00:43.850, RTA 01:09.297-01:09.358
Tick 900(886), Delay 34 ms, IGT 00:44.250, RTA 01:09.713-01:09.747
Tick 918(904), Delay 79 ms, IGT 00:45.150, RTA 01:10.605-01:10.684
Tick 919(905), Delay 64 ms, IGT 00:45.200, RTA 01:10.684-01:10.748
Tick 920(906), Delay 28 ms, IGT 00:45.250, RTA 01:10.748-01:10.776
Tick 921(907), Delay 30 ms, IGT 00:45.300, RTA 01:10.776-01:10.806
Tick 936(922), Delay 34 ms, IGT 00:46.050, RTA 01:11.514-01:11.548
Tick 972(958), Delay 33 ms, IGT 00:47.850, RTA 01:13.313-01:13.346
Tick 976(962), Delay 57 ms, IGT 00:48.050, RTA 01:13.499-01:13.556
Tick 989(975), Delay 37 ms, IGT 00:48.700, RTA 01:14.162-01:14.199
Tick 1015(1000), Delay 1414 ms, IGT 00:49.950, RTA 01:15.461-01:16.875
Tick 1016(1000), Delay 2184 ms, IGT 00:49.950, RTA 01:16.875-01:19.059
Tick 1017(1000), Delay 131 ms, IGT 00:49.950, RTA 01:19.059-01:19.190, due world load
Tick 1018(1000), Delay 1 ms, IGT 00:49.950, RTA 01:19.190-01:19.191, due world load
